transaction_id,payment_date,invoice_number,po_number,vendor_id,vendor_name,amount,category,plant_code,cost_center,related_party,days_overdue,payment_frequency,previous_avg_amount
T100000,2024-05-15,INV-725378,PO-967909,V1017,Vendor_017,50000.0,Maintenance,P001,CC0128,1,30,Quarterly,38604.872667151954
T100001,2025-09-26,INV-968241,PO-585959,V1154,Vendor_154,50000.0,Raw Material,P005,CC0135,0,38,One-off,57625.00194998168
T100002,2025-07-01,INV-623198,PO-719069,V1130,Vendor_130,68596.75802192354,Raw Material,P003,CC0108,0,59,Monthly,54341.240409753394
T100003,2025-01-25,INV-969783,PO-932519,V1087,Vendor_087,50000.0,IT Services,P001,CC0164,0,1,Ad-hoc,61004.71804772696
T100004,2025-01-21,INV-460825,PO-833088,V1086,Vendor_086,52094.610643589986,Services,P007,CC0114,0,56,Monthly,43985.25991777107
T100005,2025-11-27,INV-706968,PO-494675,V1171,Vendor_171,74658.47648838379,Utilities,P009,CC0159,0,-2,Quarterly,59446.5987068722
T100006,2024-05-12,INV-558171,PO-283799,V1017,Vendor_017,50292.62169776882,Utilities,P009,CC0142,0,59,Monthly,37344.414992336824
T100007,2025-08-02,INV-893572,PO-224001,V1139,Vendor_139,67038.99838932637,Logistics,P002,CC0174,0,99,One-off,75540.82227670123
T100008,2024-08-05,INV-682516,PO-427382,V1040,Vendor_040,132768.7574272952,Packaging,P009,CC0140,0,116,Quarterly,107771.35665187617
T100009,2024-05-18,INV-494593,PO-698903,V1018,Vendor_018,54944.04597766941,Services,P005,CC0165,0,99,One-off,44977.23379690326
T100010,2025-03-30,INV-320207,PO-818658,V1105,Vendor_105,107976.50162208156,Raw Material,P003,CC0193,0,66,Monthly,86577.4985088077
T100011,2026-02-21,INV-382063,PO-128237,V1195,Vendor_195,79196.3137891985,Logistics,P002,CC0125,1,86,Ad-hoc,69968.1275369717
T100012,2025-08-30,INV-167301,PO-515843,V1147,Vendor_147,50000.0,Utilities,P008,CC0111,0,-5,Quarterly,63236.34302385181
T100013,2025-09-17,INV-238931,PO-946102,V1152,Vendor_152,50000.0,IT Services,P003,CC0160,0,78,One-off,49598.65033772967
T100014,2025-08-16,INV-557994,PO-839831,V1143,Vendor_143,50000.0,Utilities,P007,CC0114,0,114,Quarterly,42826.338179173
T100015,2025-10-05,INV-128421,PO-945897,V1157,Vendor_157,50000.0,Maintenance,P006,CC0121,1,9,Monthly,40111.72279113376
T100016,2025-03-20,INV-524189,PO-961280,V1102,Vendor_102,57231.236841996295,Logistics,P010,CC0175,0,26,One-off,40710.91676608454
T100017,2024-06-12,INV-137797,PO-182928,V1025,Vendor_025,81415.58731711288,Raw Material,P008,CC0168,0,119,Quarterly,74820.56555847733
T100018,2025-11-14,INV-245788,PO-712928,V1167,Vendor_167,112148.5048714757,Logistics,P008,CC0102,0,51,Ad-hoc,85909.89127707633
T100019,2025-02-02,INV-722409,PO-595797,V1090,Vendor_090,69848.75526155958,Utilities,P005,CC0158,0,84,One-off,50026.18124786469
T100020,2025-03-11,INV-125955,PO-529555,V1100,Vendor_100,50000.0,Raw Material,P006,CC0165,0,97,One-off,38089.39117807499
T100021,2024-12-06,INV-402916,PO-817650,V1074,Vendor_074,50000.0,IT Services,P002,CC0132,0,114,Ad-hoc,44555.645491772186
T100022,2024-07-22,INV-271360,PO-941093,V1036,Vendor_036,31757280.18147975,Logistics,P008,CC0174,1,0,One-off,71361.03388298121
T100023,2026-01-16,INV-148655,PO-518120,V1185,Vendor_185,60650.617570271126,Utilities,P008,CC0172,0,36,Monthly,44893.086800442834
T100024,2025-10-02,INV-287380,PO-683808,V1156,Vendor_156,65608.75174426312,IT Services,P004,CC0162,0,20,One-off,72642.29560841453
T100025,2025-06-24,INV-200981,PO-530893,V1128,Vendor_128,171634.09735833603,Utilities,P002,CC0125,0,95,One-off,184047.6222327919
T100026,2024-12-29,INV-172503,PO-672192,V1080,Vendor_080,111334.92427641372,Packaging,P008,CC0128,0,103,Monthly,136852.23463639963
T100027,2025-11-01,INV-698754,PO-973179,V1164,Vendor_164,88657.01671442142,Packaging,P008,CC0154,0,102,Quarterly,71846.95527130124
